"Afghan Afghani",125.2832417
"Albanian Lek",165.64580734
"Algerian Dinar",199.54268556
"Angolan Kwanza",612.376349
"Argentine Peso",202.87229162
"Armenian Dram",583.81820644
"Aruban Florin",2.556
"Australian Dollar",2.1110927
"Azerbaijani Manat",2.40642004
"Bahamian Dollar",1.41937378
"Bahraini Dinar",0.53527184
"Bangladeshi Taka",148.32468568
"Barbadian Dollar",2.86577016
"Belarusian Ruble",27832
"Belize Dollar",2.86084844
"Bermudan Dollar",1
"Bhutanese Ngultrum",112.90379956
Bitcoin,7.047207808E-5
"Bolivian Boliviano",9.80782214
"Bosnia-Herzegovina Convertible Mark",2.78161812
"Botswanan Pula",18.50566152
"Brazilian Real",7.37000164
"British Pound Sterling",1.2357124
"Brunei Dollar",1.99814448
"Bulgarian Lev",2.78124466
"Burundian Franc",2930.09484508
"Cambodian Riel",5833.57655426
"Canadian Dollar",1.8720499
"Cape Verdean Escudo",156.82094044
"Cayman Islands Dollar",1.18270522
"CFA Franc BCEAO",355.35433402
"CFA Franc BEAC",0.00084206
"CFP Franc",24.90239658
"Chilean Peso",1312.43481114
"Chilean Unit of Account (UF)",0.04762112
"Chinese Yuan",9.92679258
"Colombian Peso",6237.35
"Comorian Franc",689.65851704
"Congolese Franc",2898.21959246
"Costa Rican Colón",895.62797918
"Croatian Kuna",10.69785684
"Cuban Convertible Peso",1
"Cuban Peso",37.63
"Czech Republic Koruna",34.84793458
"Danish Krone",10.570196
"Djiboutian Franc",252.6802244
"Dominican Peso",75.71095792
"East Caribbean Dollar",932.91428664
"Egyptian Pound",27.54913742
"Eritrean Nakfa",21.3
"Ethiopian Birr",74.95604332
Euro,1.4214555
"Falkland Islands Pound",1.22772632
"Fijian Dollar",3.1860611
"Gambian Dalasi",77.38387554
"Georgian Lari",4.01150426
"Ghanaian Cedi",14.29258684
"Gibraltar Pound",1.22772632
"Gold (troy ounce)",1.09400918
"Guatemalan Quetzal",11.07035976
"Guernsey Pound",1.22772632
"Guinean Franc",12275.02704222
"Guyanaese Dollar",296.94503382
"Haitian Gourde",168.89476876
"Honduran Lempira",35.01539376
"Hong Kong Dollar",11.145083
"Hungarian Forint",579.00489492
"Icelandic Króna",197.15284402
"Indian Rupee",113.267081
"Indonesian Rupiah",21204.576
"Iranian Rial",60066.0000213
"Iraqi Dinar",2071.53259056
"Israeli New Sheqel",4.888776
"Jamaican Dollar",215.73561012
"Japanese Yen",203.85577936
"Jersey Pound",1.22772632
"Jordanian Dinar",1.00681692
"Kazakhstani Tenge",675.5965311
"Kenyan Shilling",170.88322316
"Kuwaiti Dinar",0.4387516
"Kyrgystani Som",115.08560684
"Laotian Kip",22390.6310568
"Latvian Lats",0.8589438
"Lebanese Pound",2146.0609668
"Lesotho Loti",24.28584252
"Liberian Dollar",218.6090994
"Libyan Dinar",7.04278962
"Lithuanian Litas",4.1928908
"Macanese Pataca",11.47386696
"Macedonian Denar",87.57912764
"Malagasy Ariary",5982.283494
"Malawian Kwacha",1451.926428
"Malaysian Ringgit",6.43975396
"Maldivian Rufiyaa",22.0242426
"Manx pound",1.22772632
"Mauritanian Ouguiya",506.93975576
"Mauritian Rupee",63.89850758
"Mexican Peso",28.42527316
"Moldovan Leu",27.49945162
"Mongolian Tugrik",4578.70771952
"Moroccan Dirham",15.32568654
"Mozambican Metical",90.63895642
"Myanma Kyat",2980.68610808
"Namibian Dollar",24.28717306
"Nepalese Rupee",180.64659078
"Netherlands Antillean Guilder",2.5580022
"New Belarusian Ruble",3.58256912
"New Taiwan Dollar",44.35256684
"New Zealand Dollar",2.3719112
"Nicaraguan Córdoba",51.0107168
"Nigerian Naira",608.62688586
"North Korean Won",1278.0000639
"Norwegian Krone",14.387227
"Omani Rial",0.5467071
"Pakistani Rupee",336.74653474
"Panamanian Balboa",1.41923178
"Papua New Guinean Kina",5.00126556
"Paraguayan Guarani",9885.98413578
"Peruvian Nuevo Sol",5.45861774
"Philippine Peso",81.3716516
"Polish Zloty",6.71815348
"Qatari Rial",5.17021006
"Romanian Leu",6.99803974
"Russian Ruble",84.66755396
"Rwandan Franc",1470.75365278
"Saint Helena Pound",1.95591368
"Salvadoran Colón",12.4184396
"Samoan Tala",0.07319532
"São Tomé and Príncipe Dobra",29391.13303136
"Saudi Riyal",5.33649916
"Serbian Dinar",166.78614118
"Seychellois Rupee",18.47932478
"Sierra Leonean Leone",20554.49997586
"Silver (troy ounce)",3.837621
"Singapore Dollar",1.9984725
"Solomon Islands Dollar",11.63953978
"Somali Shilling",807.26164188
"South African Rand",22.10530756
"South Korean Won",1985.5896991
"Special Drawing Rights",170.4705456
"Sri Lankan Rupee",510.95679234
"Sudanese Pound",818.62919912
"Surinamese Dollar",38.40886858
"Swazi Lilangeni",24.9244861
"Swedish Krona",15.19755142
"Swiss Franc",1.36064258
"Syrian Pound",3567.79305156
"Tajikistani Somoni",14.37066554
"Tanzanian Shilling",3309.85812284
"Thai Baht",52.32843562
"Tongan Pa?anga",3.37672308
"Trinidad and Tobago Dollar",9.6346787
"Tunisian Dinar",4.59232544
"Turkish Lira",25.9309821
"Turkmenistani Manat",4.97
"Ugandan Shilling",5407.74935974
"Ukrainian Hryvnia",52.1622871
"United Arab Emirates Dirham",5.2156813
"United States Dollar",57.88714348
"Uruguayan Peso",15506.32206188
"Uzbekistan Som",33554.6
"Vanuatu Vatu",932.94699066
"Venezuelan Bolívar Fuerte",168.92586534
"Vietnamese Dong",3.87032076
"Yemeni Rial",12781.70946842
"Zambian Kwacha",457.23942064
"Zambian Kwacha (pre-2013)",457.23942064
"Zimbabwean Dollar",
